,f__Acetivibrionaceae,f__Acetobacteraceae,f__Acidaminococcaceae,f__Actinomycetaceae,f__Acutalibacteraceae,f__Aerococcaceae,f__Aeromonadaceae,f__Akkermansiaceae,f__Alteromonadaceae,f__Amphibacillaceae,f__Anaerofustaceae,f__Anaeroplasmataceae,f__Anaerotignaceae,f__Anaerovoracaceae,f__Anoxybacillaceae,f__Arcobacteraceae,f__Atopobiaceae,f__BX7,f__Bacillaceae,f__Bacillaceae_B,f__Bacillaceae_C,f__Bacillaceae_D,f__Bacillaceae_G,f__Bacillaceae_H,f__Bacillaceae_I,f__Bacillaceae_L,f__Bacteroidaceae,f__Barnesiellaceae,f__Beijerinckiaceae,f__Bifidobacteriaceae,f__Borkfalkiaceae,f__Brachyspiraceae,f__Brevibacillaceae,f__Brevibacteriaceae,f__Bryobacteraceae,f__Burkholderiaceae,f__Butyricicoccaceae,f__CAG-138,f__CAG-239,f__CAG-272,f__CAG-274,f__CAG-288,f__CAG-312,f__CAG-313,f__CAG-314,f__CAG-382,f__CAG-449,f__CAG-508,f__CAG-552,f__CAG-74,f__CAG-826,f__CAG-917,f__CAG-977,f__CAIPTA01,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Cellulomonadaceae,f__Cellulosilyticaceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Coprobacteraceae,f__Coriobacteriaceae,f__DSM-1321,f__DSM-18226,f__Dehalobacteriaceae,f__Deinococcaceae,f__Dermabacteraceae,f__Dermatophilaceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dialisteraceae,f__Domibacillaceae,f__Dysgonomonadaceae,f__Eggerthellaceae,f__Egibacteraceae,f__Elusimicrobiaceae,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelatoclostridiaceae,f__Erysipelotrichaceae,f__Eubacteriaceae,f__Fastidiosipilaceae,f__Filifactoraceae,f__Flavobacteriaceae,f__Frankiaceae,f__Fusobacteriaceae,f__GCA-900066905,f__GWF2-45-14,f__Gastranaerophilaceae,f__Gemellaceae,f__Halomonadaceae,f__Heliobacteriaceae,f__JACDCH01,f__Jeotgalibacillaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__MARSEILLE-P3954,f__Marinifilaceae,f__Massilibacillaceae,f__Megasphaeraceae,f__Methanobacteriaceae,f__Methanomassiliicoccaceae,f__Methanomethylophilaceae,f__Methylophilaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Microcoleaceae,f__Monoglobaceae,f__Moraxellaceae,f__Muribaculaceae,f__Mycobacteriaceae,f__Mycoplasmoidaceae,f__NSJ-53,f__Negativicoccaceae,f__Neisseriaceae,f__Nitrososphaeraceae,f__Nocardioidaceae,f__Opitutaceae,f__Oscillospiraceae,f__Paenibacillaceae,f__Paludibacteraceae,f__Pasteurellaceae,f__Peptoniphilaceae,f__Peptostreptococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pyrinomonadaceae,f__QAKW01,f__Rhizobiaceae,f__Rhizobiaceae_A,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rikenellaceae,f__Rubrobacteraceae,f__Ruminococcaceae,f__SK-Y3,f__Saccharimonadaceae,f__Salinicoccaceae,f__Salisediminibacteriaceae,f__Selenomonadaceae,f__Shewanellaceae,f__Solirubrobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Streptomycetaceae,f__Streptosporangiaceae,f__Succinivibrionaceae,f__Synergistaceae,f__Syntrophomonadaceae,f__TK06,f__Tannerellaceae,f__Thermaceae,f__Thermicanaceae,f__Turicibacteraceae,f__UBA10450,f__UBA1067,f__UBA1381,f__UBA1390,f__UBA1407,f__UBA1820,f__UBA1829,f__UBA660,f__UBA932,f__UMGS1810,f__Vagococcaceae,f__Veillonellaceae,f__Vibrionaceae,f__Victivallaceae,f__WHSQ01,f__Weeksellaceae,f__X112,f__Xanthobacteraceae,f__Xanthomonadaceae
10317.000012326,0,0,23,0,98,0,0,188,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6057,12,0,466,0,0,0,0,0,0,37,0,6,2,0,0,0,0,0,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,759,0,0,5,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,84,8,16,0,2,0,0,0,0,0,0,0,0,565,0,1338,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,323,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
10317.000054127,0,0,443,0,123,0,0,0,0,0,2,0,152,112,0,0,0,0,0,0,0,0,0,0,0,0,21554,114,0,235,0,0,0,0,0,548,50,2,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,61,2,37,0,0,0,0,0,0,216,0,0,0,0,11,0,0,0,0,284,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4550,17,0,0,29,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,733,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,870,0,22840,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,829,0,0,10,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317.000030973,0,0,0,2,125,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,8658,705,0,18,0,0,0,0,0,75,31,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,7,0,0,0,0,0,0,9,0,26,0,0,2,0,0,0,0,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,21,8,0,2,0,0,0,0,0,0,0,0,595,0,382,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,480,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317.000069160,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6034,0,0,186,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,47,0,12,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,2,85,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,64,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,7,0,328,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0
10317.000059092,0,0,623,3,1732,0,0,1033,0,0,0,0,272,76,0,0,0,0,0,0,0,0,0,0,0,0,3237,0,0,3,0,0,0,0,0,200,35,0,45,122,48,0,0,11,0,3,0,504,9,352,0,0,0,0,9,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,87,0,3,0,0,35,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,274,0,0,2,0,0,0,0,0,1744,0,0,3,24,2,0,10,0,0,0,0,0,0,0,0,503,0,1766,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,46,0,0,0,0,0,12,4,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0
10317.000003303,0,0,0,0,253,0,0,58,0,0,0,0,12,19,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,8,0,0,0,0,0,8,77,13,0,50,2,0,0,9,2,0,0,421,0,336,0,4,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,343,0,0,2,10,45,0,0,0,0,2,0,0,0,0,0,773,0,1136,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,96,0,0,4,0,0,86,2,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0
10317.000028859,0,0,38,0,14,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3309,39,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,14,0,0,0,0,0,0,0,272,0,42,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,303,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,166,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,326,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317.000039876,0,0,294,2,212,12,0,10,0,0,2,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,6009,0,0,8,0,0,0,0,0,448,15,0,46,0,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,55,0,0,0,3,0,0,39,0,0,0,0,6,0,0,2,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,245,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,236,0,1074,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,410,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10317.000067710,0,0,46,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,14,0,35,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,3,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,104,0,0,6,0,2,0,0,0,5,0,0,0,0,0,0,649,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18
10317.000003799,0,0,0,0,179,0,0,2681,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3520,51,0,27,0,0,0,0,0,95,7,32,0,0,0,0,0,0,0,0,0,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,19,0,128,0,0,2,0,0,0,3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,5,26,0,0,0,14,0,0,0,0,0,0,440,0,869,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,127,0,0,0,0,0,3,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
